Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
60ed501279c68ea1a313d0aa,4cta4ox0pt,"Affordance Norms_Prolific",1,1,2023-01-09T18:25:19+00:00,11.356386184692,52,"updated stim.csv",Version52.csv,"Version 52","List 52",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11109,,,-1,-1,,,,,1
60ed501279c68ea1a313d0aa,4cta4ox0pt,"Affordance Norms_Prolific",1,2,2023-01-09T18:25:31+00:00,12.382075786591,52,"updated stim.csv",Version52.csv,"Version 52","List 52",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11937,,,-1,-1,,,,,1
60ed501279c68ea1a313d0aa,4cta4ox0pt,"Affordance Norms_Prolific",1,3,2023-01-09T18:25:36+00:00,4.8211081027985,52,"updated stim.csv",Version52.csv,"Version 52","List 52",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4349,,,-1,-1,,,,,1
60ed501279c68ea1a313d0aa,4cta4ox0pt,"Affordance Norms_Prolific",1,4,2023-01-09T18:26:33+00:00,56.801268100739,52,"updated stim.csv",Version52.csv,"Version 52","List 52",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,55842,,,9685,52730,,,,"eat,cook,throw,collect,fill bags with",1
60ed501279c68ea1a313d0aa,4cta4ox0pt,"Affordance Norms_Prolific",1,5,2023-01-09T18:27:25+00:00,51.713943958282,52,"updated stim.csv",Version52.csv,"Version 52","List 52",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,50831,,,4254,49059,,,,"put teacup on, eat from, drink from, throw, drop,draw circles with",1
60ed501279c68ea1a313d0aa,4cta4ox0pt,"Affordance Norms_Prolific",1,6,2023-01-09T18:28:10+00:00,45.875597000122,52,"updated stim.csv",Version52.csv,"Version 52","List 52",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,44978,,,37674,42247,,,,"bake,make pastry",1
60ed501279c68ea1a313d0aa,4cta4ox0pt,"Affordance Norms_Prolific",1,7,2023-01-09T18:28:55+00:00,44.749742984772,52,"updated stim.csv",Version52.csv,"Version 52","List 52",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,43850,,,8645,41181,,,,"file,collect,send,email,list,complete study",1
60ed501279c68ea1a313d0aa,4cta4ox0pt,"Affordance Norms_Prolific",1,8,2023-01-09T18:29:40+00:00,45.059522867203,52,"updated stim.csv",Version52.csv,"Version 52","List 52",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,44113,,,2319,33588,,,,"eat,cook,make a picture,",1
60ed501279c68ea1a313d0aa,4cta4ox0pt,"Affordance Norms_Prolific",1,9,2023-01-09T18:29:44+00:00,3.572291135788,52,"updated stim.csv",Version52.csv,"Version 52","List 52",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",3067,,,-1,-1,,,,,1
60ed501279c68ea1a313d0aa,4cta4ox0pt,"Affordance Norms_Prolific",1,10,2023-01-09T18:29:48+00:00,3.740217924118,52,"updated stim.csv",Version52.csv,"Version 52","List 52",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,3252,,,-1,-1,,,,,1
