Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
63474e67a5fd298c6103c409,o4kfzhno9i,"Affordance Norms_Prolific",1,1,2023-05-12T00:50:34+00:00,13.995454072952,40,"updated stim.csv",Version40.csv,"Version 40","List 40",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,13626,,,-1,-1,,,,,1
63474e67a5fd298c6103c409,o4kfzhno9i,"Affordance Norms_Prolific",1,2,2023-05-12T00:51:23+00:00,48.523257017136,40,"updated stim.csv",Version40.csv,"Version 40","List 40",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,48108,,,-1,-1,,,,,0.656
63474e67a5fd298c6103c409,o4kfzhno9i,"Affordance Norms_Prolific",1,3,2023-05-12T00:51:26+00:00,3.6731638908386,40,"updated stim.csv",Version40.csv,"Version 40","List 40",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3157,,,-1,-1,,,,,1
63474e67a5fd298c6103c409,o4kfzhno9i,"Affordance Norms_Prolific",1,4,2023-05-12T00:54:33+00:00,187.02668905258,40,"updated stim.csv",Version40.csv,"Version 40","List 40",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,186597,,,165620,179767,,,,"Baking, cakes, cookies, pie crusts.",0.532
63474e67a5fd298c6103c409,o4kfzhno9i,"Affordance Norms_Prolific",1,5,2023-05-12T00:55:30+00:00,56.564970970154,40,"updated stim.csv",Version40.csv,"Version 40","List 40",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,56108,,,38154,38154,,,,"spaghetti and meatballs,Spaghetti Bolognese",0.451
63474e67a5fd298c6103c409,o4kfzhno9i,"Affordance Norms_Prolific",1,6,2023-05-12T00:56:21+00:00,51.105838060379,40,"updated stim.csv",Version40.csv,"Version 40","List 40",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,50631,,,29524,38225,,,,"Serving hot beverages,Condiment holder,Jewelry tray",0.642
63474e67a5fd298c6103c409,o4kfzhno9i,"Affordance Norms_Prolific",1,7,2023-05-12T00:57:28+00:00,66.853302955627,40,"updated stim.csv",Version40.csv,"Version 40","List 40",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,66402,,,-1,-1,,,,"Communication, Planning, Tracking, Notetaking.",0.416
63474e67a5fd298c6103c409,o4kfzhno9i,"Affordance Norms_Prolific",1,8,2023-05-12T00:57:46+00:00,18.200337171555,40,"updated stim.csv",Version40.csv,"Version 40","List 40",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,17759,,,-1,-1,,,,"Cereal, Bread, Rice, Field, Farm, Harvest, Flour, ",0.467
63474e67a5fd298c6103c409,o4kfzhno9i,"Affordance Norms_Prolific",1,9,2023-05-12T00:57:48+00:00,1.9934430122375,40,"updated stim.csv",Version40.csv,"Version 40","List 40",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1626,,,-1,-1,,,,,1
63474e67a5fd298c6103c409,o4kfzhno9i,"Affordance Norms_Prolific",1,10,2023-05-12T00:57:50+00:00,2.051383972168,40,"updated stim.csv",Version40.csv,"Version 40","List 40",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1648,,,-1,-1,,,,,1
