Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,1,2022-11-30T06:09:51+00:00,11.529430866241,90,"updated stim.csv",Version90.csv,"Version 90","List 90",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11099,,,-1,-1,,,,,1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,2,2022-11-30T06:10:03+00:00,11.244786024094,90,"updated stim.csv",Version90.csv,"Version 90","List 90",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10718,,,-1,-1,,,,,1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,3,2022-11-30T06:10:06+00:00,3.3798460960388,90,"updated stim.csv",Version90.csv,"Version 90","List 90",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,2862,,,-1,-1,,,,,1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,4,2022-11-30T06:10:19+00:00,12.988194942474,90,"updated stim.csv",Version90.csv,"Version 90","List 90",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12514,,,5923,12261,,,,"short, shorter",1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,5,2022-11-30T06:10:31+00:00,11.973824977875,90,"updated stim.csv",Version90.csv,"Version 90","List 90",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11375,,,1115,10973,,,,"graining, grained",1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,6,2022-11-30T06:10:38+00:00,7.4260330200195,90,"updated stim.csv",Version90.csv,"Version 90","List 90",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6897,,,984,4799,,,,"saucer, sauced",1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,7,2022-11-30T06:10:46+00:00,7.7141919136047,90,"updated stim.csv",Version90.csv,"Version 90","List 90",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7212,,,1083,6562,,,,paperworks,1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,8,2022-11-30T06:11:04+00:00,17.750221014023,90,"updated stim.csv",Version90.csv,"Version 90","List 90",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,17223,,,3389,16120,,,,spaghettis,1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,9,2022-11-30T06:11:07+00:00,3.1139290332794,90,"updated stim.csv",Version90.csv,"Version 90","List 90",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1996,,,-1,-1,,,,,1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,10,2022-11-30T06:11:09+00:00,1.865602016449,90,"updated stim.csv",Version90.csv,"Version 90","List 90",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1541,,,-1,-1,,,,,1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,11,2022-11-30T06:11:25+00:00,16.115058898926,90,"updated stim.csv",Version90.csv,"Version 90","List 90",cup,,2693,6.043478261,726,2694,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,15516,,,1373,11843,,,,"cups, cupped",1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,12,2022-11-30T06:11:32+00:00,7.4187271595001,90,"updated stim.csv",Version90.csv,"Version 90","List 90",glasses,,2676,6.541666667,1112,2677,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6740,,,1008,6308,,,,"glasses, glassed",1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,13,2022-11-30T06:11:39+00:00,6.3759498596191,90,"updated stim.csv",Version90.csv,"Version 90","List 90",blackheads,,2678,4.260869565,230,2679,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5768,,,1293,4552,,,,blackhead,1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,14,2022-11-30T06:11:45+00:00,5.8446290493011,90,"updated stim.csv",Version90.csv,"Version 90","List 90",gatekeeper,,2683,4.44,1087,2684,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5411,,,1546,4981,,,,gatekeepers,1
j00713554,9bdq2x70tk,"Affordance Norms_South Alabama",1,15,2022-11-30T06:11:51+00:00,6.6322259902954,90,"updated stim.csv",Version90.csv,"Version 90","List 90",cash,,2691,6.36,448,2692,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6141,,,924,3709,,,,cashed,1
