Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00643621_teg,cprxctg3lv,"Affordance Norms_South Alabama",1,1,2022-11-30T01:01:42+00:00,12.503116130829,81,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,12411,,,-1,-1,,,,,1
J00643621_teg,cprxctg3lv,"Affordance Norms_South Alabama",1,2,2022-11-30T01:02:29+00:00,46.941408872604,81,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,46655,,,-1,-1,,,,,1
J00643621_teg,cprxctg3lv,"Affordance Norms_South Alabama",1,3,2022-11-30T01:02:31+00:00,1.9603800773621,81,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,1809,,,-1,-1,,,,,1
J00643621_teg,cprxctg3lv,"Affordance Norms_South Alabama",1,4,2022-11-30T01:02:45+00:00,14.163930892944,81,"updated stim.csv",Version81.csv,"Version 81","List 81",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14000,,,6697,12859,,,,"Add a grain of salt.",1
J00643621_teg,cprxctg3lv,"Affordance Norms_South Alabama",1,5,2022-11-30T01:03:25+00:00,39.939080953598,81,"updated stim.csv",Version81.csv,"Version 81","List 81",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,39647,,,5674,30109,,,,"I need the pork chop on the saucer.",1
J00643621_teg,cprxctg3lv,"Affordance Norms_South Alabama",1,6,2022-11-30T01:03:39+00:00,14.731032133102,81,"updated stim.csv",Version81.csv,"Version 81","List 81",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14566,,,-1,-1,,,,,1
J00643621_teg,cprxctg3lv,"Affordance Norms_South Alabama",1,7,2022-11-30T01:03:46+00:00,6.3825879096985,81,"updated stim.csv",Version81.csv,"Version 81","List 81",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6230,,,-1,-1,,,,,1
J00643621_teg,cprxctg3lv,"Affordance Norms_South Alabama",1,8,2022-11-30T01:04:01+00:00,14.643800973892,81,"updated stim.csv",Version81.csv,"Version 81","List 81",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14462,,,8941,13842,,,,"You make this to eat.",1
J00643621_teg,cprxctg3lv,"Affordance Norms_South Alabama",1,9,2022-11-30T01:04:02+00:00,1.5486040115356,81,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1368,,,-1,-1,,,,,1
J00643621_teg,cprxctg3lv,"Affordance Norms_South Alabama",1,10,2022-11-30T01:04:03+00:00,1.2992250919342,81,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1145,,,-1,-1,,,,,1
