Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5f9b77d9ecb7a43adeb1a1e6,eprlqnd25u,"Affordance Norms_Prolific",1,1,2023-01-09T18:17:06+00:00,12.178115844727,22,"updated stim.csv",Version22.csv,"Version 22","List 22",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,12077,,,-1,-1,,,,,1
5f9b77d9ecb7a43adeb1a1e6,eprlqnd25u,"Affordance Norms_Prolific",1,2,2023-01-09T18:17:20+00:00,14.71938419342,22,"updated stim.csv",Version22.csv,"Version 22","List 22",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,14548,,,-1,-1,,,,,1
5f9b77d9ecb7a43adeb1a1e6,eprlqnd25u,"Affordance Norms_Prolific",1,3,2023-01-09T18:17:24+00:00,3.2638919353485,22,"updated stim.csv",Version22.csv,"Version 22","List 22",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3112,,,-1,-1,,,,,1
5f9b77d9ecb7a43adeb1a1e6,eprlqnd25u,"Affordance Norms_Prolific",1,4,2023-01-09T18:17:53+00:00,29.404742956161,22,"updated stim.csv",Version22.csv,"Version 22","List 22",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,29145,,,2518,27974,,,,"keep sauce in, keep misc objects in, keep soup in, hold water",1
5f9b77d9ecb7a43adeb1a1e6,eprlqnd25u,"Affordance Norms_Prolific",1,5,2023-01-09T18:18:24+00:00,30.645788908005,22,"updated stim.csv",Version22.csv,"Version 22","List 22",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,30320,,,2764,25564,,,,"eat, play with, pretend it's worms",1
5f9b77d9ecb7a43adeb1a1e6,eprlqnd25u,"Affordance Norms_Prolific",1,6,2023-01-09T18:18:50+00:00,26.416004180908,22,"updated stim.csv",Version22.csv,"Version 22","List 22",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,26114,,,2521,23029,,,,"file, read, analyze, mail out",1
5f9b77d9ecb7a43adeb1a1e6,eprlqnd25u,"Affordance Norms_Prolific",1,7,2023-01-09T18:19:02+00:00,11.682498931885,22,"updated stim.csv",Version22.csv,"Version 22","List 22",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11490,,,3930,9723,,,,"bake sweets, cook",1
5f9b77d9ecb7a43adeb1a1e6,eprlqnd25u,"Affordance Norms_Prolific",1,8,2023-01-09T18:19:30+00:00,27.825817108154,22,"updated stim.csv",Version22.csv,"Version 22","List 22",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,27474,,,6862,25794,,,,"create flour, feed to livestock, use as decoration",1
5f9b77d9ecb7a43adeb1a1e6,eprlqnd25u,"Affordance Norms_Prolific",1,9,2023-01-09T18:19:31+00:00,1.5943830013275,22,"updated stim.csv",Version22.csv,"Version 22","List 22",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1413,,,-1,-1,,,,,1
5f9b77d9ecb7a43adeb1a1e6,eprlqnd25u,"Affordance Norms_Prolific",1,10,2023-01-09T18:19:34+00:00,2.3586387634277,22,"updated stim.csv",Version22.csv,"Version 22","List 22",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2174,,,-1,-1,,,,,1
5f9b77d9ecb7a43adeb1a1e6,eprlqnd25u,"Affordance Norms_Prolific",1,11,2023-01-09T18:20:15+00:00,41.25704407692,22,"updated stim.csv",Version22.csv,"Version 22","List 22",rabbit,,642,5,2117,0.225154992,643,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,40967,,,5378,40153,,,,"keep as pet, play with, chase, shoot, cook & eat, admire, pet",1
