"Username","ID","ExperimentName","Session","Trial","Date","TimeDif","Condition.Number","Stimuli.File","Order.File","Condition.Description","Condition.Notes","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Stimuli.Value","Procedure.Item","Procedure.Trial.Type","Procedure.Max.Time","Procedure.Min.Time","Procedure.Text","Procedure.Procedure.Notes","Procedure.Shuffle","Response.RT","Response.Response","Response.Accuracy","Response.RTfirst","Response.RTlast","Response.strictAcc","Response.lenientAcc","Response.focus","Response.JOL","Response.Focus"
"LH7376","vl0o4m2xrq","Affordance Norms_ILSTU",1,11,"2022-11-01T04:45:38+00:00",14.181336164474,32,"updated stim.csv","Version32.csv","Version 32","List 32","stretcher",NA,947,5.08,2567,948,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",13859,NA,NA,3887,10012,NA,NA,NA,"carrying, transporting",1
"LH7376","vl0o4m2xrq","Affordance Norms_ILSTU",1,12,"2022-11-01T04:45:58+00:00",20.078460931778,32,"updated stim.csv","Version32.csv","Version 32","List 32","bead",NA,951,5.545454545,178,952,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",19447,NA,NA,3173,10038,NA,NA,NA,"making into jewelry",1
"LH7376","vl0o4m2xrq","Affordance Norms_ILSTU",1,13,"2022-11-01T04:46:18+00:00",19.662424087524,32,"updated stim.csv","Version32.csv","Version 32","List 32","pocketknife",NA,932,5.692307692,2015,933,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",19355,NA,NA,1966,16332,NA,NA,NA,"stabbing, cutting, slicing",1
"LH7376","vl0o4m2xrq","Affordance Norms_ILSTU",1,14,"2022-11-01T04:47:35+00:00",77.1444439888,32,"updated stim.csv","Version32.csv","Version 32","List 32","machinery",NA,954,5.416666667,1568,955,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",22278,NA,NA,2281,21188,NA,NA,NA,"building, repairing, destroying, creating, lifting, carrying",1
"LH7376","vl0o4m2xrq","Affordance Norms_ILSTU",1,15,"2022-11-01T04:47:54+00:00",19.756141901016,32,"updated stim.csv","Version32.csv","Version 32","List 32","songbook",NA,955,5.76,2452,956,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",19400,NA,NA,1311,10951,NA,NA,NA,"writing songs",1
"LH7376","vl0o4m2xrq","Affordance Norms_ILSTU",1,16,"2022-11-01T04:48:22+00:00",27.704240083694,32,"updated stim.csv","Version32.csv","Version 32","List 32","stairwell",NA,950,5.038461538,2502,951,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",27216,NA,NA,2205,11892,NA,NA,NA,"climbing, going up and down",1
"LH7376","vl0o4m2xrq","Affordance Norms_ILSTU",1,17,"2022-11-01T04:48:44+00:00",21.881428956985,32,"updated stim.csv","Version32.csv","Version 32","List 32","seed",NA,943,5.185185185,2308,944,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",21392,NA,NA,2229,11439,NA,NA,NA,"planting, farming, growing, cultivating",1
"LH7376","vl0o4m2xrq","Affordance Norms_ILSTU",1,18,"2022-11-01T04:49:03+00:00",19.485743045807,32,"updated stim.csv","Version32.csv","Version 32","List 32","dessert",NA,958,5.695652174,781,959,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",19129,NA,NA,1812,14890,NA,NA,NA,"eating, enjoying, cooking",1
"LH7376","vl0o4m2xrq","Affordance Norms_ILSTU",1,19,"2022-11-01T04:49:27+00:00",23.348448991776,32,"updated stim.csv","Version32.csv","Version 32","List 32","dollar",NA,944,6.24,815,945,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",22847,NA,NA,1513,13166,NA,NA,NA,"spending, working for",1
"LH7376","vl0o4m2xrq","Affordance Norms_ILSTU",1,20,"2022-11-01T04:49:44+00:00",16.702069997787,32,"updated stim.csv","Version32.csv","Version 32","List 32","powerboat",NA,960,5.782608696,2056,961,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",16379,NA,NA,12924,13859,NA,NA,NA,"sailing",0.921
"LH7376","vl0o4m2xrq","Affordance Norms_ILSTU",1,21,"2022-11-01T04:50:02+00:00",18.055681943893,32,"updated stim.csv","Version32.csv","Version 32","List 32","sprinter",NA,936,4.565217391,2490,937,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",17707,NA,NA,3284,16862,NA,NA,NA,"running, winning a race, moving quickly",1
