Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10087576_crt,j9n25dk833,"BOI Norms",1,1,2021-10-13T11:02:36-07:00,14.898293972015,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,14558,,,-1,-1,,,,,1
w10087576_crt,j9n25dk833,"BOI Norms",1,2,2021-10-13T11:02:48-07:00,12.567671060562,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,12162,,,-1,-1,,,,,1
w10087576_crt,j9n25dk833,"BOI Norms",1,3,2021-10-13T11:03:13-07:00,24.250694990158,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,23974,,,-1,-1,,,,,1
w10087576_crt,j9n25dk833,"BOI Norms",1,4,2021-10-13T11:03:54-07:00,41.752231121063,6,"updated stim.csv",Version81.csv,"Version 81","List 81",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,41436,,,16067,37881,,,,"eat, mix, distill",1
w10087576_crt,j9n25dk833,"BOI Norms",1,5,2021-10-13T11:05:23-07:00,88.764662027359,6,"updated stim.csv",Version81.csv,"Version 81","List 81",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,88467,,,4826,87449,,,,"file, fold, staple, read, trash, transcribe, fill out",1
w10087576_crt,j9n25dk833,"BOI Norms",1,6,2021-10-13T11:06:11-07:00,47.850319862366,6,"updated stim.csv",Version81.csv,"Version 81","List 81",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,47397,,,5211,43557,,,,"melt, baking, ",1
w10087576_crt,j9n25dk833,"BOI Norms",1,7,2021-10-13T11:07:04-07:00,52.497204065323,6,"updated stim.csv",Version81.csv,"Version 81","List 81",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,52154,,,21487,50602,,,,"hold cup, hold spoon, protect fingers",1
w10087576_crt,j9n25dk833,"BOI Norms",1,8,2021-10-13T11:07:34-07:00,30.252862930298,6,"updated stim.csv",Version81.csv,"Version 81","List 81",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,29926,,,2003,20717,,,,"eating, crafts",1
w10087576_crt,j9n25dk833,"BOI Norms",1,9,2021-10-13T11:07:37-07:00,3.2333960533142,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2908,,,-1,-1,,,,,1
w10087576_crt,j9n25dk833,"BOI Norms",1,10,2021-10-13T11:07:41-07:00,4.1978950500488,6,"updated stim.csv",Version81.csv,"Version 81","List 81",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,3947,,,-1,-1,,,,,1
