Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10012467_rrb,tljlq2kaxe,"BOI Norms",1,1,2021-02-02T00:20:44-08:00,15.601009130478,22,"updated stim.csv",Version22.csv,"Version 22","List 22",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,15371,,,-1,-1,,,,,1
w10012467_rrb,tljlq2kaxe,"BOI Norms",1,2,2021-02-02T00:21:07-08:00,22.572746038437,22,"updated stim.csv",Version22.csv,"Version 22","List 22",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,22147,,,-1,-1,,,,,1
w10012467_rrb,tljlq2kaxe,"BOI Norms",1,3,2021-02-02T00:21:11-08:00,3.7916748523712,22,"updated stim.csv",Version22.csv,"Version 22","List 22",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3473,,,-1,-1,,,,,1
w10012467_rrb,tljlq2kaxe,"BOI Norms",1,4,2021-02-02T00:22:18-08:00,67.603080034256,22,"updated stim.csv",Version22.csv,"Version 22","List 22",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,67116,,,2275,62096,,,,"eat, craft, burn, necklace, kebab, decoration",1
w10012467_rrb,tljlq2kaxe,"BOI Norms",1,5,2021-02-02T00:23:01-08:00,42.797336101532,22,"updated stim.csv",Version22.csv,"Version 22","List 22",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,42352,,,4723,28947,,,,"cooking, grease a pan, make the floor slippery",1
w10012467_rrb,tljlq2kaxe,"BOI Norms",1,6,2021-02-02T00:23:49-08:00,47.923454046249,22,"updated stim.csv",Version22.csv,"Version 22","List 22",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,47332,,,8982,44085,,,,"hold food, frisbee, storage container, break it and use shards to cut, cat dish",1
w10012467_rrb,tljlq2kaxe,"BOI Norms",1,7,2021-02-02T00:25:27-08:00,97.508596897125,22,"updated stim.csv",Version22.csv,"Version 22","List 22",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,96703,,,8870,94997,,,,"make bread, use it as a design in glass, use as design in playdough, feed chickens, grow crops",1
w10012467_rrb,tljlq2kaxe,"BOI Norms",1,8,2021-02-02T00:27:35-08:00,128.31572604179,22,"updated stim.csv",Version22.csv,"Version 22","List 22",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,127776,,,5572,126140,,,,"learn new information, tear it up and use as hamster bedding, toilet paper, note paper, use as coaster",1
w10012467_rrb,tljlq2kaxe,"BOI Norms",1,9,2021-02-02T00:27:38-08:00,3.1044809818268,22,"updated stim.csv",Version22.csv,"Version 22","List 22",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2756,,,-1,-1,,,,,1
w10012467_rrb,tljlq2kaxe,"BOI Norms",1,10,2021-02-02T00:29:16-08:00,98.173414945602,22,"updated stim.csv",Version22.csv,"Version 22","List 22",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,97750,,,-1,-1,,,,,1
