Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
W10059162AO,7pjeqkhiql,"BOI Norms",1,1,2020-10-27T14:47:25-07:00,11.124904870987,8,"updated stim.csv",Version83.csv,"Version 83","List 83",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10948,,,-1,-1,,,,,1
W10059162AO,7pjeqkhiql,"BOI Norms",1,2,2020-10-27T14:47:37-07:00,11.650598049164,8,"updated stim.csv",Version83.csv,"Version 83","List 83",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11409,,,-1,-1,,,,,1
W10059162AO,7pjeqkhiql,"BOI Norms",1,3,2020-10-27T14:47:38-07:00,1.5893461704254,8,"updated stim.csv",Version83.csv,"Version 83","List 83",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,1354,,,-1,-1,,,,,1
W10059162AO,7pjeqkhiql,"BOI Norms",1,4,2020-10-27T14:48:08-07:00,29.351836919785,8,"updated stim.csv",Version83.csv,"Version 83","List 83",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,28719,,,9528,27478,,,,"eating,holding silverware",1
W10059162AO,7pjeqkhiql,"BOI Norms",1,5,2020-10-27T14:48:22-07:00,14.485934019089,8,"updated stim.csv",Version83.csv,"Version 83","List 83",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14269,,,6525,12821,,,,"farm animals,plants",1
W10059162AO,7pjeqkhiql,"BOI Norms",1,6,2020-10-27T14:48:32-07:00,9.7855339050293,8,"updated stim.csv",Version83.csv,"Version 83","List 83",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9539,,,2015,8213,,,,"doctors,school,finances",1
W10059162AO,7pjeqkhiql,"BOI Norms",1,7,2020-10-27T14:48:47-07:00,15.604999065399,8,"updated stim.csv",Version83.csv,"Version 83","List 83",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,15338,,,2390,13666,,,,"baked,fried,stove",1
W10059162AO,7pjeqkhiql,"BOI Norms",1,8,2020-10-27T14:48:58-07:00,10.310261011124,8,"updated stim.csv",Version83.csv,"Version 83","List 83",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10108,,,3747,8637,,,,"breathe,hair,time",1
W10059162AO,7pjeqkhiql,"BOI Norms",1,9,2020-10-27T14:48:59-07:00,1.7519829273224,8,"updated stim.csv",Version83.csv,"Version 83","List 83",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1453,,,-1,-1,,,,,1
W10059162AO,7pjeqkhiql,"BOI Norms",1,10,2020-10-27T14:49:01-07:00,1.1617419719696,8,"updated stim.csv",Version83.csv,"Version 83","List 83",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,903,,,-1,-1,,,,,1
