Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10089688_JJP,e8ggvebdvu,"BOI Norms",1,1,2021-11-28T04:35:52+00:00,53.171774148941,16,"updated stim.csv",Version91.csv,"Version 91","List 91",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,52460,,,-1,-1,,,,,1
w10089688_JJP,e8ggvebdvu,"BOI Norms",1,2,2021-11-28T04:36:07+00:00,15.869127988815,16,"updated stim.csv",Version91.csv,"Version 91","List 91",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,15018,,,-1,-1,,,,,1
w10089688_JJP,e8ggvebdvu,"BOI Norms",1,3,2021-11-28T04:37:25+00:00,77.660596847534,16,"updated stim.csv",Version91.csv,"Version 91","List 91",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,76944,,,-1,-1,,,,,1
w10089688_JJP,e8ggvebdvu,"BOI Norms",1,4,2021-11-28T04:37:43+00:00,17.390725135803,16,"updated stim.csv",Version91.csv,"Version 91","List 91",Cheeseburger,,Practice,,3001,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,16429,,,4822,6104,,,,eat,1
w10089688_JJP,e8ggvebdvu,"BOI Norms",1,5,2021-11-28T04:38:10+00:00,27.116940021515,16,"updated stim.csv",Version91.csv,"Version 91","List 91",Swan,,Practice,,3004,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,26656,,,20145,25064,,,,"looked at, pet",1
w10089688_JJP,e8ggvebdvu,"BOI Norms",1,6,2021-11-28T04:38:31+00:00,21.201313018799,16,"updated stim.csv",Version91.csv,"Version 91","List 91","Picture Frame",,Practice,,3002,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20751,,,3134,16492,,,,"hold pictures, protect pictures",1
w10089688_JJP,e8ggvebdvu,"BOI Norms",1,7,2021-11-28T04:38:38+00:00,7.0638768672943,16,"updated stim.csv",Version91.csv,"Version 91","List 91",Donut,,Practice,,3003,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6479,,,1513,3281,,,,eat,1
w10089688_JJP,e8ggvebdvu,"BOI Norms",1,8,2021-11-28T04:38:59+00:00,20.608294010162,16,"updated stim.csv",Version91.csv,"Version 91","List 91",Taco,,Practice,,3005,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20149,,,2737,3124,,,,eat,1
w10089688_JJP,e8ggvebdvu,"BOI Norms",1,9,2021-11-28T04:39:01+00:00,2.8720149993896,16,"updated stim.csv",Version91.csv,"Version 91","List 91",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2349,,,-1,-1,,,,,1
w10089688_JJP,e8ggvebdvu,"BOI Norms",1,10,2021-11-28T04:39:11+00:00,9.3984858989716,16,"updated stim.csv",Version91.csv,"Version 91","List 91",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,9023,,,-1,-1,,,,,1
