Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
637fab4c67c0092b80075bfb,jire3f4pr3,"Affordance Norms_Prolific",1,1,2023-01-05T20:33:24+00:00,35.493802785873,11,"updated stim.csv",Version11.csv,"Version 11","List 11",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,35080,,,-1,-1,,,,,1
637fab4c67c0092b80075bfb,jire3f4pr3,"Affordance Norms_Prolific",1,2,2023-01-05T20:33:54+00:00,30.132256031036,11,"updated stim.csv",Version11.csv,"Version 11","List 11",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,29535,,,-1,-1,,,,,1
637fab4c67c0092b80075bfb,jire3f4pr3,"Affordance Norms_Prolific",1,3,2023-01-05T20:33:59+00:00,4.6582159996033,11,"updated stim.csv",Version11.csv,"Version 11","List 11",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4161,,,-1,-1,,,,,1
637fab4c67c0092b80075bfb,jire3f4pr3,"Affordance Norms_Prolific",1,4,2023-01-05T20:34:31+00:00,32.691807985306,11,"updated stim.csv",Version11.csv,"Version 11","List 11",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,32193,,,31335,31787,,,,work,1
637fab4c67c0092b80075bfb,jire3f4pr3,"Affordance Norms_Prolific",1,5,2023-01-05T20:34:47+00:00,15.974560022354,11,"updated stim.csv",Version11.csv,"Version 11","List 11",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,15490,,,6841,14900,,,,"fry, cook, eat",1
637fab4c67c0092b80075bfb,jire3f4pr3,"Affordance Norms_Prolific",1,6,2023-01-05T20:35:01+00:00,13.921714067459,11,"updated stim.csv",Version11.csv,"Version 11","List 11",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13445,,,5707,11784,,,,"cook, beer, havest",1
637fab4c67c0092b80075bfb,jire3f4pr3,"Affordance Norms_Prolific",1,7,2023-01-05T20:35:33+00:00,31.459134101868,11,"updated stim.csv",Version11.csv,"Version 11","List 11",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,30943,,,4163,30592,,,,"short, duck",1
637fab4c67c0092b80075bfb,jire3f4pr3,"Affordance Norms_Prolific",1,8,2023-01-05T20:35:42+00:00,9.2177758216858,11,"updated stim.csv",Version11.csv,"Version 11","List 11",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,8748,,,1601,6352,,,,"eat, pasta, italy",1
637fab4c67c0092b80075bfb,jire3f4pr3,"Affordance Norms_Prolific",1,9,2023-01-05T20:35:46+00:00,3.8548741340637,11,"updated stim.csv",Version11.csv,"Version 11","List 11",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",3412,,,-1,-1,,,,,1
637fab4c67c0092b80075bfb,jire3f4pr3,"Affordance Norms_Prolific",1,10,2023-01-05T20:35:53+00:00,7.4700999259949,11,"updated stim.csv",Version11.csv,"Version 11","List 11",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,7017,,,-1,-1,,,,,1
