Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,1,2022-09-22T02:19:33+00:00,13.768264055252,6,"updated stim.csv",Version6.csv,"Version 6","List 6",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,13617,,,-1,-1,,,,,1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,2,2022-09-22T02:19:44+00:00,10.838134050369,6,"updated stim.csv",Version6.csv,"Version 6","List 6",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10635,,,-1,-1,,,,,1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,3,2022-09-22T02:19:50+00:00,6.6529541015625,6,"updated stim.csv",Version6.csv,"Version 6","List 6",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,6459,,,-1,-1,,,,,1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,4,2022-09-22T02:20:16+00:00,25.50825381279,6,"updated stim.csv",Version6.csv,"Version 6","List 6",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,25076,,,6598,23637,,,,"write, ripped, shredded ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,5,2022-09-22T02:20:25+00:00,8.8189270496368,6,"updated stim.csv",Version6.csv,"Version 6","List 6",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,8609,,,3471,7569,,,,"small, tiny, cut ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,6,2022-09-22T02:20:45+00:00,20.269770145416,6,"updated stim.csv",Version6.csv,"Version 6","List 6",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20035,,,2085,18934,,,,"food, pan, sky ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,7,2022-09-22T02:20:55+00:00,9.8336429595947,6,"updated stim.csv",Version6.csv,"Version 6","List 6",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9634,,,2551,8529,,,,"noodles, food, red, long ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,8,2022-09-22T02:21:10+00:00,15.402583837509,6,"updated stim.csv",Version6.csv,"Version 6","List 6",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,15181,,,1947,14137,,,,"sand, stop",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,9,2022-09-22T02:21:12+00:00,1.2873001098633,6,"updated stim.csv",Version6.csv,"Version 6","List 6",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1160,,,-1,-1,,,,,1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,10,2022-09-22T02:21:15+00:00,3.2723789215088,6,"updated stim.csv",Version6.csv,"Version 6","List 6",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,3151,,,-1,-1,,,,,1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,11,2022-09-22T02:21:25+00:00,10.102416038513,6,"updated stim.csv",Version6.csv,"Version 6","List 6",bathe,,156,5.214285714,168,157,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9911,,,2434,8035,,,,"clean, refresh",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,12,2022-09-22T02:21:34+00:00,9.1605610847473,6,"updated stim.csv",Version6.csv,"Version 6","List 6",ginger,,178,5.32,1104,179,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8675,,,2971,3955,,,,cooking,1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,13,2022-09-22T02:21:52+00:00,17.94189286232,6,"updated stim.csv",Version6.csv,"Version 6","List 6",negligee,,172,4.75,1749,173,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,17332,,,14438,16236,,,,"dress up ",0.923
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,14,2022-09-22T02:22:07+00:00,15.089137077332,6,"updated stim.csv",Version6.csv,"Version 6","List 6",wand,,169,5.08,2892,170,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,14871,,,2287,13826,,,,"magic,sturing ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,15,2022-09-22T02:22:20+00:00,12.562035083771,6,"updated stim.csv",Version6.csv,"Version 6","List 6",van,,163,6.28,2836,164,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,12366,,,2041,11078,,,,"driving, running",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,16,2022-09-22T02:22:31+00:00,11.161492824554,6,"updated stim.csv",Version6.csv,"Version 6","List 6",balcony,,176,4.739130435,127,177,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10966,,,2675,10196,,,,"sitting, cooking, outside, relaxing ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,17,2022-09-22T02:22:40+00:00,9.0110251903534,6,"updated stim.csv",Version6.csv,"Version 6","List 6",chinaware,,158,5.913043478,527,159,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8823,,,2367,7371,,,,"expensive, eating, fancy",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,18,2022-09-22T02:22:43+00:00,3.1699960231781,6,"updated stim.csv",Version6.csv,"Version 6","List 6",pilaf,,157,4.7,1959,158,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,3041,,,1741,2053,,,,huh,1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,19,2022-09-22T02:22:49+00:00,5.9462308883667,6,"updated stim.csv",Version6.csv,"Version 6","List 6",canvass,,177,4.347826087,421,178,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5747,,,2039,4868,,,,"art, paint, color ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,20,2022-09-22T02:22:55+00:00,6.1242959499359,6,"updated stim.csv",Version6.csv,"Version 6","List 6",blindfold,,167,5.125,237,168,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5904,,,1724,5122,,,,"dark, scary ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,21,2022-09-22T02:23:02+00:00,6.4855170249939,6,"updated stim.csv",Version6.csv,"Version 6","List 6",tabasco,,173,5.260869565,2615,174,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6289,,,2932,5470,,,,"smoke, smelly ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,22,2022-09-22T02:23:09+00:00,7.5687251091003,6,"updated stim.csv",Version6.csv,"Version 6","List 6",footballer,,165,5.041666667,1031,166,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7371,,,2618,6187,,,,"games, sports, person ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,23,2022-09-22T02:23:14+00:00,4.6980648040771,6,"updated stim.csv",Version6.csv,"Version 6","List 6",desert,,160,4.291666667,779,161,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,4501,,,1712,3236,,,,"hot, dry",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,24,2022-09-22T02:23:20+00:00,6.3590271472931,6,"updated stim.csv",Version6.csv,"Version 6","List 6",tinfoil,,155,5.458333333,2703,156,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6149,,,2159,4873,,,,"hold, heat, ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,25,2022-09-22T02:23:23+00:00,2.6515200138092,6,"updated stim.csv",Version6.csv,"Version 6","List 6",chronograph,,154,4.684210526,538,155,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2522,,,1363,1626,,,,huh,1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,26,2022-09-22T02:23:30+00:00,7.5220708847046,6,"updated stim.csv",Version6.csv,"Version 6","List 6",bird,,171,4.896551724,220,172,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7332,,,1334,6497,,,,"fly, sky, fast, light ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,27,2022-09-22T02:23:39+00:00,8.5740880966187,6,"updated stim.csv",Version6.csv,"Version 6","List 6",scale,,175,5.652173913,2259,176,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8352,,,1662,7533,,,,"weight, person, food ",1
MW6542,hsyqn5504j,"Affordance Norms_ILSTU",1,28,2022-09-22T02:23:46+00:00,6.7885890007019,6,"updated stim.csv",Version6.csv,"Version 6","List 6",bicep,,151,5.666666667,209,152,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6591,,,1541,5778,,,,"arm , muscle, workout ",1
