Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,1,2021-08-24T20:07:40-07:00,11.92981505394,3,"updated stim.csv",Version3.csv,"Version 3","List 3",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11458,,,-1,-1,,,,,1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,2,2021-08-24T20:07:52-07:00,12.26566696167,3,"updated stim.csv",Version3.csv,"Version 3","List 3",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11847,,,-1,-1,,,,,1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,3,2021-08-24T20:07:57-07:00,4.5979809761047,3,"updated stim.csv",Version3.csv,"Version 3","List 3",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3779,,,-1,-1,,,,,1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,4,2021-08-24T20:09:08-07:00,70.878873109818,3,"updated stim.csv",Version3.csv,"Version 3","List 3",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,69660,,,7658,67845,,,,"homework, job, documents, letters, records, forms ",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,5,2021-08-24T20:09:59-07:00,50.973972797394,3,"updated stim.csv",Version3.csv,"Version 3","List 3",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,50440,,,24941,49534,,,,"food, butter, margarine",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,6,2021-08-24T20:11:07-07:00,68.105136156082,3,"updated stim.csv",Version3.csv,"Version 3","List 3",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,67523,,,21315,54867,,,,"plate, bowl",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,7,2021-08-24T20:11:53-07:00,45.72079205513,3,"updated stim.csv",Version3.csv,"Version 3","List 3",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,45095,,,5066,45012,,,,"noodles, meatballs, red sauce, dinner, arts and craft",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,8,2021-08-24T20:12:29-07:00,36.697378873825,3,"updated stim.csv",Version3.csv,"Version 3","List 3",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,36220,,,2121,35995,,,,"bread, rice, crop",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,9,2021-08-24T20:12:31-07:00,1.7802400588989,3,"updated stim.csv",Version3.csv,"Version 3","List 3",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1456,,,-1,-1,,,,,1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,10,2021-08-24T20:12:33-07:00,2.3265879154205,3,"updated stim.csv",Version3.csv,"Version 3","List 3",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1658,,,-1,-1,,,,,1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,11,2021-08-24T20:13:15-07:00,41.835613965988,3,"updated stim.csv",Version3.csv,"Version 3","List 3",lumber,,88,5.217391304,1557,89,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,41031,,,32058,40634,,,,"wood, beams, planks",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,12,2021-08-24T20:13:53-07:00,37.813049077988,3,"updated stim.csv",Version3.csv,"Version 3","List 3",limestone,,81,4.565217391,1515,82,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,37348,,,17394,28384,,,,rock,1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,13,2021-08-24T20:14:41-07:00,47.445914983749,3,"updated stim.csv",Version3.csv,"Version 3","List 3",lilac,,80,5,1508,81,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,47025,,,18837,32743,,,,"color, flower",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,14,2021-08-24T20:15:00-07:00,19.53887295723,3,"updated stim.csv",Version3.csv,"Version 3","List 3",postage,,83,4.32,2041,84,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,19034,,,9470,14807,,,,"mail, stamps",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,15,2021-08-24T20:15:43-07:00,43.296596050262,3,"updated stim.csv",Version3.csv,"Version 3","List 3",rack,,73,4.68,2119,74,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,42630,,,27209,42130,,,,"storage, money",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,16,2021-08-24T20:16:50-07:00,67.014122962952,3,"updated stim.csv",Version3.csv,"Version 3","List 3",sash,,79,4.916666667,2244,80,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,65841,,,30044,62961,,,,"belt, one shoulder, waistband",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,17,2021-08-24T20:17:24-07:00,33.121598005295,3,"updated stim.csv",Version3.csv,"Version 3","List 3",crumb,,89,4.45,714,90,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,31900,,,21953,30841,,,,"piece of food, small",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,18,2021-08-24T20:18:09-07:00,45.9175760746,3,"updated stim.csv",Version3.csv,"Version 3","List 3",stuff,,77,4.391304348,2574,78,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,45044,,,20048,44672,,,,"objects, things, belongings, items",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,19,2021-08-24T20:18:28-07:00,18.619997024536,3,"updated stim.csv",Version3.csv,"Version 3","List 3",perfume,,78,4.96,1926,79,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,18102,,,3053,17840,,,,"spray, smell good, scent",1
W10058771_rnc,6jp4k8lzn5,"BOI Norms",1,20,2021-08-24T20:19:21-07:00,52.812795877457,3,"updated stim.csv",Version3.csv,"Version 3","List 3",rink,,71,4.333333333,2171,72,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,51955,,,2603,50197,,,,"skate, ice, stats",1
