Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10136388,imkms48zp7,"BOI Norms",1,1,2022-10-17T22:08:21+00:00,11.740680932999,9,"updated stim.csv",Version34.csv,"Version 34","List 34",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11600,,,-1,-1,,,,,1
w10136388,imkms48zp7,"BOI Norms",1,2,2022-10-17T22:08:34+00:00,13.0559258461,9,"updated stim.csv",Version34.csv,"Version 34","List 34",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,12577,,,-1,-1,,,,,1
w10136388,imkms48zp7,"BOI Norms",1,3,2022-10-17T22:08:37+00:00,2.9070641994476,9,"updated stim.csv",Version34.csv,"Version 34","List 34",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,2780,,,-1,-1,,,,,1
w10136388,imkms48zp7,"BOI Norms",1,4,2022-10-17T22:08:51+00:00,14.227276802063,9,"updated stim.csv",Version34.csv,"Version 34","List 34",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14051,,,2720,12937,,,,"cooked, ate, thrown, crushed",1
w10136388,imkms48zp7,"BOI Norms",1,5,2022-10-17T22:08:53+00:00,1.9600231647491,9,"updated stim.csv",Version34.csv,"Version 34","List 34",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,1847,,,-1,-1,,,,,1
w10136388,imkms48zp7,"BOI Norms",1,6,2022-10-17T22:09:08+00:00,14.232539892197,9,"updated stim.csv",Version34.csv,"Version 34","List 34",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14055,,,3750,11276,,,,"used, printed, observed, cut, ",1
w10136388,imkms48zp7,"BOI Norms",1,7,2022-10-17T22:09:16+00:00,8.3932890892029,9,"updated stim.csv",Version34.csv,"Version 34","List 34",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,8214,,,1405,7597,,,,"cooked, ate, broken, ",1
w10136388,imkms48zp7,"BOI Norms",1,8,2022-10-17T22:09:26+00:00,9.4824869632721,9,"updated stim.csv",Version34.csv,"Version 34","List 34",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9298,,,4228,9184,,,,"broken, crushed, used",1
w10136388,imkms48zp7,"BOI Norms",1,9,2022-10-17T22:09:28+00:00,2.1603569984436,9,"updated stim.csv",Version34.csv,"Version 34","List 34",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2039,,,-1,-1,,,,,1
w10136388,imkms48zp7,"BOI Norms",1,10,2022-10-17T22:09:30+00:00,1.8153479099274,9,"updated stim.csv",Version34.csv,"Version 34","List 34",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1707,,,-1,-1,,,,,1
