Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Stimuli*Rand,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
W10124340_kg,rxm8xbkyv7,"Affordance Norms_USM",1,1,2023-01-04T12:18:34+00:00,14.947921037674,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,14690,,,-1,-1,,,,,1
W10124340_kg,rxm8xbkyv7,"Affordance Norms_USM",1,2,2023-01-04T12:18:57+00:00,22.914727926254,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,22586,,,-1,-1,,,,,1
W10124340_kg,rxm8xbkyv7,"Affordance Norms_USM",1,3,2023-01-04T12:19:01+00:00,4.2251539230347,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3932,,,-1,-1,,,,,1
W10124340_kg,rxm8xbkyv7,"Affordance Norms_USM",1,4,2023-01-04T12:19:21+00:00,20.173038005829,1,"updated stim.csv",Version1.csv,"Version 1","List 1",saucer,,3005,5.777777778,2249,0.304808074,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,19802,,,11049,19455,,,,"tomato, blend, smooth",1
W10124340_kg,rxm8xbkyv7,"Affordance Norms_USM",1,5,2023-01-04T12:19:37+00:00,15.785091161728,1,"updated stim.csv",Version1.csv,"Version 1","List 1",shortening,,3002,4.92,2358,0.604328482,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,15204,,,7649,14906,,,,"thanksgiving, height, butter",1
W10124340_kg,rxm8xbkyv7,"Affordance Norms_USM",1,6,2023-01-04T12:19:44+00:00,7.5134649276733,1,"updated stim.csv",Version1.csv,"Version 1","List 1",spaghetti,,3003,6,2461,0.090379998,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6953,,,2214,6592,,,,"thin, long, meatballs",1
W10124340_kg,rxm8xbkyv7,"Affordance Norms_USM",1,7,2023-01-04T12:19:54+00:00,9.3754348754883,1,"updated stim.csv",Version1.csv,"Version 1","List 1",paperwork,,3001,5.625,1866,0.124284162,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9064,,,2504,8666,,,,"daunting, tiresome, abundant",1
W10124340_kg,rxm8xbkyv7,"Affordance Norms_USM",1,8,2023-01-04T12:20:10+00:00,15.748887062073,1,"updated stim.csv",Version1.csv,"Version 1","List 1",grain,,3004,5.217391304,1143,0.226863762,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,15093,,,1712,14770,,,,"salt, brown, bread, rice, healthy",1
W10124340_kg,rxm8xbkyv7,"Affordance Norms_USM",1,9,2023-01-04T12:20:12+00:00,2.0337860584259,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1684,,,-1,-1,,,,,1
W10124340_kg,rxm8xbkyv7,"Affordance Norms_USM",1,10,2023-01-04T12:20:13+00:00,1.4130120277405,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1076,,,-1,-1,,,,,1
W10124340_kg,rxm8xbkyv7,"Affordance Norms_USM",1,11,2023-01-04T12:20:51+00:00,37.673840045929,1,"updated stim.csv",Version1.csv,"Version 1","List 1",Massage,,22,4.826086957,1618,0.113902737,23,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,36394,,,3085,36050,,,,"soothing, physical therapy, long, relaxing, spa",1
