Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10089826DJ,p4pj557um7,"BOI Norms",1,1,2022-01-08T23:57:25+00:00,29.967973947525,6,"updated stim.csv",Version6.csv,"Version 6","List 6",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,29738,,,-1,-1,,,,,1
w10089826DJ,p4pj557um7,"BOI Norms",1,2,2022-01-08T23:57:37+00:00,12.713428974152,6,"updated stim.csv",Version6.csv,"Version 6","List 6",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,12405,,,-1,-1,,,,,1
w10089826DJ,p4pj557um7,"BOI Norms",1,3,2022-01-08T23:57:42+00:00,4.5831670761108,6,"updated stim.csv",Version6.csv,"Version 6","List 6",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4266,,,-1,-1,,,,,1
w10089826DJ,p4pj557um7,"BOI Norms",1,4,2022-01-08T23:57:49+00:00,6.7062559127808,6,"updated stim.csv",Version6.csv,"Version 6","List 6",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6422,,,1991,5445,,,,"rice ",1
w10089826DJ,p4pj557um7,"BOI Norms",1,5,2022-01-08T23:57:54+00:00,5.8512511253357,6,"updated stim.csv",Version6.csv,"Version 6","List 6",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,5535,,,3384,4419,,,,tall,1
w10089826DJ,p4pj557um7,"BOI Norms",1,6,2022-01-08T23:57:59+00:00,4.9138059616089,6,"updated stim.csv",Version6.csv,"Version 6","List 6",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,4618,,,1877,3940,,,,meatballs,1
w10089826DJ,p4pj557um7,"BOI Norms",1,7,2022-01-08T23:58:09+00:00,9.9528830051422,6,"updated stim.csv",Version6.csv,"Version 6","List 6",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9637,,,4537,8526,,,,"space ship",1
w10089826DJ,p4pj557um7,"BOI Norms",1,8,2022-01-08T23:58:21+00:00,11.910176038742,6,"updated stim.csv",Version6.csv,"Version 6","List 6",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11594,,,4378,10004,,,,homework,1
w10089826DJ,p4pj557um7,"BOI Norms",1,9,2022-01-08T23:58:23+00:00,2.0030839443207,6,"updated stim.csv",Version6.csv,"Version 6","List 6",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1687,,,-1,-1,,,,,1
w10089826DJ,p4pj557um7,"BOI Norms",1,10,2022-01-08T23:58:27+00:00,3.4467000961304,6,"updated stim.csv",Version6.csv,"Version 6","List 6",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,3177,,,-1,-1,,,,,1
